PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ID
1642352,00,,16,0,98,18,26,0.692307692307,3,7,0.428571428571,4,9,0.444444444444,6,22,28,4,5,4,4,11,43,0.0
1631170,00,,141,37,3481,554,1159,0.477998274374,102,321,0.317757009345,249,317,0.78548895899,166,409,575,361,138,34,208,248,1459,0.0
1642276,00,,64,36,1422,257,464,0.553879310344,35,111,0.315315315315,46,67,0.686567164179,116,357,473,60,39,71,57,111,595,0.0
1641796,00,,55,8,781,89,203,0.43842364532,32,95,0.336842105263,41,61,0.67213114754,28,64,92,65,32,7,24,91,251,0.0
1641815,00,,3,0,5,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,0,0,0.0
1631306,00,,35,0,297,40,110,0.363636363636,28,85,0.329411764705,2,3,0.666666666666,7,34,41,12,5,3,12,19,110,0.0
1642389,00,,3,0,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
1630528,00,,152,4,2189,388,860,0.451162790697,79,289,0.273356401384,132,179,0.737430167597,72,194,266,231,103,31,180,158,987,0.0
1631214,00,,9,0,24,4,10,0.4,1,5,0.2,1,1,1.0,0,2,2,1,0,1,4,3,10,0.0
1630531,00,,110,6,967,112,274,0.408759124087,24,101,0.237623762376,68,88,0.772727272727,57,95,152,85,67,24,54,123,316,0.0
1631248,00,,31,2,383,39,110,0.354545454545,26,82,0.317073170731,9,12,0.75,19,46,65,33,17,2,12,22,113,0.0
1629674,00,,110,6,1344,222,354,0.627118644067,0,3,0.0,77,108,0.712962962962,161,239,400,72,32,73,60,181,521,0.0
1641775,00,,61,2,486,36,98,0.367346938775,17,64,0.265625,8,14,0.571428571428,28,61,89,24,17,12,20,41,97,0.0
1631120,00,,36,0,197,25,65,0.384615384615,9,32,0.28125,9,13,0.692307692307,6,26,32,34,8,4,19,11,68,0.0
1641809,00,,28,1,208,21,47,0.446808510638,16,38,0.421052631578,7,9,0.777777777777,9,32,41,14,7,2,9,19,65,0.0
1629681,00,,54,4,642,62,184,0.336956521739,37,119,0.310924369747,14,19,0.736842105263,27,57,84,30,28,23,15,78,175,0.0
1641817,00,,9,0,22,4,9,0.444444444444,0,1,0.0,0,0,0.0,1,2,3,2,1,0,2,3,8,0.0
1630186,00,,39,1,349,57,137,0.41605839416,16,59,0.271186440677,17,25,0.68,10,35,45,21,12,2,15,28,147,0.0
1631199,00,,11,0,68,9,24,0.375,3,15,0.2,3,3,1.0,7,7,14,7,0,1,0,5,24,0.0
1629076,00,,65,3,691,100,153,0.653594771241,1,2,0.5,45,75,0.6,50,112,162,21,15,6,31,68,246,0.0
1629620,00,0,43,0,440.0,40,126,0.31746,25,80,0.3125,7,13,0.538461,6,27,33,48,12,2,22,39,112,
1629724,00,,8,0,61,6,18,0.333333333333,1,7,0.142857142857,2,6,0.333333333333,2,9,11,3,2,0,2,6,15,0.0
1629719,00,,36,1,227,41,66,0.621212121212,0,0,0.0,9,18,0.5,22,57,79,8,13,11,8,24,91,0.0
